Dependencias,Municipios,Genero,Edad
Oficina Control Interno de Gestión,CORDOBA,femenino,17
Oficina Control Interno de Gestión,SAN LORENZO,femenino,34
Oficina Control Interno de Gestión,GUALMATAN,femenino,32
Dirección Administrativa de Cultura,CUMBITARA,masculino,78
Oficina Jurídica,EL TABLON DE GOMEZ,masculino,43
Oficina Jurídica,MALLAMA,masculino,55
Oficina Control Interno Diciplinario,NARIÑO,femenino,11
Subsecretaría de Rentas,ALDANA,masculino,69
Secretaría General,EL TAMBO,femenino,66
Secretaría de Recreación y Deporte,TANGUA,femenino,39
Oficina Jurídica,SAMANIEGO,femenino,55
Secretaría de Planeación,FUNES,masculino,26
Subsecretaría de Gestión Pública,CORDOBA,masculino,54
Subsecretaría de Planeación Educativa y Cobertura,POTOSI,femenino,11
Dirección Administrativa de Gestión de Riesgo de Desastres,SANDONA,femenino,26
Secretaría General,CUMBITARA,masculino,79
Subsecretaría de Talento Humano,CONSACA,femenino,63
Subsecretaría de Desarrollo Comunitario,LA FLORIDA,masculino,65
Secretaría de Gobierno,LA CRUZ,masculino,62
Secretaría General,ARBOLEDA,femenino,20
Secretaría de Recreación y Deporte,SAN LORENZO,femenino,76
Subsecretaría de Asistencia Técnica,YACUANQUER,masculino,56
Secretaría de Educación,EL TAMBO,femenino,85
Secretaría de Hacienda,ALDANA,femenino,81
Subsecretaría de Presupuesto,YACUANQUER,femenino,75
Secretaría de Educación,POLICARPA,femenino,75
Archivo General,SANDONA,masculino,19
Dirección Administrativa de Cultura,CORDOBA,femenino,86
Subsecretaría de Gestión Pública,LA FLORIDA,femenino,66
Subsecretaría Administrativa,OLAYA HERRERA,femenino,11
Subsecretaría de Planeación Educativa y Cobertura,IMUES,femenino,45
Archivo General,SAPUYES,masculino,18
Secretaría de Ambiente y Desarrollo Sostenible,ALBAN,masculino,79
Subsecretaría de Gestión Pública,CUMBAL,femenino,13
Subsecretaría de Paz y Derechos Humanos,LA CRUZ,femenino,51
Archivo General,TUMACO,masculino,10
"Secretaría de TIC, Innovación y Gobierno Abierto",CUASPUD,femenino,38
Oficina Jurídica,CUASPUD,masculino,47
Subsecretaría de Rentas,SAMANIEGO,masculino,48
Subsecretaría de Talento Humano,SANTACRUZ,femenino,85
Subsecretaría de Presupuesto,SAN PABLO,femenino,84
Subsecretaría de Talento Humano,CORDOBA,masculino,84
Subsecretaría de Gestión Ambiental y Crecimiento Verde,LA LLANADA,femenino,13
Subsecretaría de Asistencia Técnica,SAN PEDRO DE CARTAGO,femenino,67
Subsecretaría Administrativa,SAPUYES,femenino,53
Secretaría de Equidad de Genero e Inclusión Social,MOSQUERA,femenino,65
Oficina Control Interno Diciplinario,CONTADERO,femenino,15
Secretaría de Educación,SAN PEDRO DE CARTAGO,femenino,20
Oficina Control Interno Diciplinario,COLON,masculino,53
Secretaría de Planeación,COLON,masculino,13
Subsecretaría de Asistencia Técnica,LINARES,femenino,35
Secretaría de Infraestructura y Minas,SAN PEDRO DE CARTAGO,femenino,60
Departamento Administrativo de Contratación,ILES,femenino,61
Dirección Administrativa de Cultura,LA TOLA,masculino,85
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",ALDANA,femenino,22
Secretaría de Infraestructura y Minas,CUMBITARA,masculino,73
"Secretaría de TIC, Innovación y Gobierno Abierto",POLICARPA,masculino,79
Secretaría de Planeación,EL TAMBO,femenino,86
Oficina Jurídica,MOSQUERA,femenino,25
Dirección Administrativa de Cultura,EL TAMBO,femenino,46
Dirección Administrativa de Gestión de Riesgo de Desastres,LA UNION,femenino,35
Subsecretaría de Talento Humano,ROBERTO PAYAN,masculino,64
Dirección Administrativa de Cultura,SANDONA,femenino,79
Secretaría de Recreación y Deporte,TUMACO,masculino,78
Oficina Control Interno de Gestión,TUMACO,masculino,59
Secretaría de Planeación,ARBOLEDA,femenino,12
Dirección Administrativa de Turismo,LEIVA,masculino,19
Subsecretaría de Minas,LA TOLA,masculino,45
Oficina Jurídica,NARIÑO,masculino,38
Dirección Administrativa de Cultura,ALDANA,femenino,84
Dirección Administrativa de Gestión de Riesgo de Desastres,GUACHUCAL,femenino,48
Subsecretaría de Talento Humano,NARIÑO,femenino,60
Subsecretaría de Minas,LEIVA,masculino,67
Secretaría de Infraestructura y Minas,MOSQUERA,masculino,49
Subsecretaría de Asistencia Técnica,POTOSI,femenino,29
Subsecretaría de Paz y Derechos Humanos,SAMANIEGO,masculino,28
Secretaría de Ambiente y Desarrollo Sostenible,SANTACRUZ,masculino,50
Subsecretaría de Presupuesto,LA UNION,femenino,84
Subsecretaría de Economía Regional y Agua Potable,PROVIDENCIA,masculino,17
Subsecretaría de Transito y Trasnporte,PUERRES,masculino,52
Subsecretaría de Rentas,TUMACO,masculino,26
Secretaría General,NARIÑO,femenino,28
Oficina Control Interno de Gestión,PUERRES,masculino,72
Oficina Control Interno Diciplinario,SAN LORENZO,masculino,23
Secretaría de Ambiente y Desarrollo Sostenible,LINARES,masculino,51
Subsecretaría de Presupuesto,GUAITARILLA,femenino,66
Secretaría de Infraestructura y Minas,IPIALES,masculino,31
Subsecretaría de Desarrollo Comunitario,LA CRUZ,masculino,21
Secretaría de Agricultura y Desarrollo Rural,YACUANQUER,masculino,68
Secretaría de Ambiente y Desarrollo Sostenible,TAMINANGO,masculino,85
Subsecretaría de Gestión Ambiental y Crecimiento Verde,EL TABLON DE GOMEZ,femenino,9
Subsecretaría de Gestión Ambiental y Crecimiento Verde,SAPUYES,femenino,88
Secretaría de Ambiente y Desarrollo Sostenible,SAN LORENZO,femenino,36
Subsecretaría de Infraestructura y Vías,EL CHARCO,femenino,27
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",ARBOLEDA,masculino,83
Secretaría de Recreación y Deporte,EL TAMBO,femenino,37
Secretaría de Equidad de Genero e Inclusión Social,TUQUERRES,masculino,75
Secretaría de Planeación,TUMACO,masculino,33
Oficina Control Interno de Gestión,LOS ANDES,femenino,63
Subsecretaría de Infraestructura y Vías,LA CRUZ,masculino,65
Secretaría de Planeación,LA TOLA,femenino,76
Subsecretaría de Planeación Educativa y Cobertura,ALBAN,masculino,23
Oficina Control Interno de Gestión,LA LLANADA,masculino,44
Subsecretaría de Minas,ILES,femenino,65
Secretaría General,ILES,masculino,21
Subsecretaría de Minas,PUPIALES,femenino,12
Secretaría de Hacienda,YACUANQUER,masculino,37
Subsecretaría de Paz y Derechos Humanos,POLICARPA,masculino,51
Dirección Administrativa de Cultura,FRANCISCO PIZARRO,femenino,76
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",CONTADERO,femenino,75
Departamento Administrativo de Contratación,COLON,masculino,30
Secretaría de Equidad de Genero e Inclusión Social,CUMBAL,femenino,42
Subsecretaría Administrativa,SAMANIEGO,masculino,18
Dirección Administrativa de Turismo,RICAURTE,femenino,64
Dirección Administrativa de Cultura,MALLAMA,masculino,12
Subsecretaría Administrativa,CUASPUD,femenino,54
Subsecretaría de Desarrollo Comunitario,TAMINANGO,masculino,13
Departamento Administrativo de Contratación,LA FLORIDA,femenino,80
Subsecretaría de Gestión Pública,ALBAN,masculino,36
Secretaría de Hacienda,PUPIALES,masculino,51
Secretaría de Agricultura y Desarrollo Rural,GUACHUCAL,masculino,46
Subsecretaría de Presupuesto,LOS ANDES,masculino,33
Secretaría de Equidad de Genero e Inclusión Social,BUESACO,femenino,64
Subsecretaría Administrativa y Financiera,ALBAN,femenino,33
Secretaría de Educación,EL ROSARIO,masculino,17
"Secretaría de TIC, Innovación y Gobierno Abierto",GUACHUCAL,femenino,38
Secretaría de Agricultura y Desarrollo Rural,POLICARPA,femenino,60
Subsecretaría Administrativa y Financiera,MALLAMA,femenino,24
Subsecretaría de Asistencia Técnica,LINARES,femenino,55
Subsecretaría de Presupuesto,GUACHUCAL,masculino,79
Oficina Control Interno Diciplinario,LA FLORIDA,femenino,14
Subsecretaría de Asistencia Técnica,EL CHARCO,femenino,62
Subsecretaría de Transito y Trasnporte,CHACHAGUI,masculino,23
Dirección Administrativa de Cultura,LA CRUZ,masculino,77
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",TAMINANGO,femenino,88
Dirección Administrativa de Gestión de Riesgo de Desastres,TAMINANGO,masculino,23
"Secretaría de TIC, Innovación y Gobierno Abierto",GUACHUCAL,femenino,70
"Secretaría de TIC, Innovación y Gobierno Abierto",LA CRUZ,femenino,53
Secretaría General,SAN BERNARDO,masculino,45
Secretaría de Infraestructura y Minas,EL ROSARIO,femenino,31
Subsecretaría de Infraestructura y Vías,SAN PABLO,masculino,43
Secretaría de Educación,ALDANA,masculino,32
Subsecretaría de Desarrollo Comunitario,LEIVA,masculino,41
Subsecretaría de Talento Humano,SAN LORENZO,femenino,57
Subsecretaría de Desarrollo Comunitario,CUASPUD,femenino,86
Oficina Control Interno de Gestión,TUQUERRES,masculino,21
Secretaría de Equidad de Genero e Inclusión Social,LOS ANDES,femenino,58
Dirección Administrativa de Cultura,CUMBAL,masculino,66
Subsecretaría de Transito y Trasnporte,LA FLORIDA,masculino,77
Subsecretaría de Paz y Derechos Humanos,LA TOLA,masculino,84
Subsecretaría Administrativa y Financiera,CONTADERO,masculino,78
Secretaría de Educación,GUALMATAN,femenino,14
Oficina Jurídica,LA LLANADA,femenino,68
Archivo General,LINARES,femenino,39
Subsecretaría de Economía Regional y Agua Potable,ROBERTO PAYAN,femenino,36
Subsecretaría de Minas,LA UNION,femenino,84
Dirección Administrativa de Cultura,TANGUA,femenino,32
Subsecretaría Administrativa y Financiera,ARBOLEDA,femenino,39
Dirección Administrativa de Turismo,EL TABLON DE GOMEZ,femenino,74
Subsecretaría de Asistencia Técnica,CUMBITARA,masculino,60
Dirección Administrativa de Cultura,GUAITARILLA,femenino,31
Subsecretaría de Transito y Trasnporte,SANTA BARBARA,masculino,63
Secretaría de Gobierno,LINARES,femenino,83
Secretaría de Educación,RICAURTE,femenino,69
Subsecretaría de Gestión Ambiental y Crecimiento Verde,ALBAN,femenino,65
Secretaría de Agricultura y Desarrollo Rural,POLICARPA,femenino,40
Departamento Administrativo de Contratación,BARBACOAS,femenino,10
Dirección Administrativa de Cultura,ANCUYA,masculino,88
Subsecretaría de Desarrollo Comunitario,LA UNION,femenino,82
Secretaría de Recreación y Deporte,ALDANA,masculino,50
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",OSPINA,femenino,13
Subsecretaría de Gestión Pública,PUPIALES,femenino,6
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",LA UNION,femenino,8
Subsecretaría de Paz y Derechos Humanos,CUASPUD,femenino,48
Subsecretaría de Gestión Pública,COLON,masculino,85
"Secretaría de TIC, Innovación y Gobierno Abierto",POTOSI,masculino,12
Secretaría de Agricultura y Desarrollo Rural,LINARES,femenino,37
Subsecretaría de Gestión Ambiental y Crecimiento Verde,PROVIDENCIA,masculino,5
Subsecretaría de Economía Regional y Agua Potable,SANDONA,masculino,75
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",SANTA BARBARA,femenino,40
Archivo General,SAN PABLO,femenino,76
Subsecretaría de Gestión Pública,MAGUI,masculino,79
Subsecretaría de Transito y Trasnporte,LA TOLA,femenino,17
Secretaría de Infraestructura y Minas,GUAITARILLA,femenino,61
"Secretaría de TIC, Innovación y Gobierno Abierto",POLICARPA,femenino,48
Dirección Administrativa de Cultura,LINARES,masculino,11
Subsecretaría de Calidad Educativa,LA FLORIDA,masculino,35
Secretaría de Agricultura y Desarrollo Rural,TUQUERRES,masculino,79
Subsecretaría Administrativa,LA UNION,masculino,19
Dirección Administrativa de Gestión de Riesgo de Desastres,MAGUI,masculino,18
Secretaría de Educación,SANTACRUZ,masculino,44
Dirección Administrativa de Gestión de Riesgo de Desastres,ALDANA,masculino,46
Secretaría de Agricultura y Desarrollo Rural,SANTACRUZ,masculino,5
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",BUESACO,masculino,46
Oficina Control Interno de Gestión,EL TAMBO,masculino,49
Secretaría de Equidad de Genero e Inclusión Social,IMUES,masculino,79
Subsecretaría de Asistencia Técnica,ANCUYA,masculino,50
Secretaría de Ambiente y Desarrollo Sostenible,LOS ANDES,femenino,47
Dirección Administrativa de Cultura,LA UNION,femenino,62
Subsecretaría de Minas,CONSACA,femenino,82
Secretaría de Equidad de Genero e Inclusión Social,LA LLANADA,masculino,48
Oficina Jurídica,ARBOLEDA,masculino,81
Subsecretaría de Presupuesto,POLICARPA,femenino,54
Subsecretaría de Gestión Pública,CUMBAL,masculino,47
